Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Offer,URL
Malabar eats,"Kerala, South Indian, Chinese, Beverages",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/malabar-eats-arekere-bilekahalli-bangalore-215021
Lassi Shop,Beverages,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/lassi-shop-13th-main-road-bommanahalli-bangalore-111254
Juicy&spicy,"Chinese, South Indian, North Indian, Fast Food, Beverages",3.8,150,Arekere,NA,https://www.swiggy.com/restaurants/juicy-and-spicy-rbi-layout-jp-nagar-bangalore-111496
Melting Pot,"Indian, Continental, Chinese",NA,500,Arekere,NA,https://www.swiggy.com/restaurants/melting-pot-arekere-jp-nagar-7th-phase-bangalore-295335
Tasty Point,Snacks,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/tasty-point-near-sai-baba-temple-arekere-bangalore-56593
Southly Healthy,"South Indian, Healthy Food",3.7,200,Arekere,NA,https://www.swiggy.com/restaurants/southly-healthy-arekere-panduranga-nagar-bangalore-295573
S V HOME FOODS,"South Indian, Biryani",NA,500,Arekere,NA,https://www.swiggy.com/restaurants/s-v-home-foods-arekere-bangalore-466432
The Great Indian Food Court,"Fast Food, Snacks",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/the-great-indian-food-court-arekere-bangalore-523154
Holige Mane Kuruk Thindi,Sweets,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/holige-mane-kuruk-thindi-begur-bommanahalli-bangalore-445645
SLAY Coffee,"Beverages, Desserts",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/slay-coffee-vinayaka-nagar-arekere-bangalore-136881
ITC Fabelle Chocolates,"Bakery, Desserts, Sweets",NA,600,Arekere,NA,https://www.swiggy.com/restaurants/itc-fabelle-chocolates-jp-nagar-7th-phase-arekere-bangalore-381852
PRACHINA KITCHEN,"Biryani, Chinese",NA,199,Arekere,NA,https://www.swiggy.com/restaurants/prachina-kitchen-arekere-bangalore-418152
Achayans Kerala Homely Food,Indian,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/achayans-kerala-homely-food-arekere-bangalore-516769
Ludos Pizza,Pizzas,3.7,300,Arekere,NA,https://www.swiggy.com/restaurants/ludos-pizza-arekere-bangalore-419485
Enchante By Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/enchante-by-chai-point-royal-meenakshi-mall-hulimavu-bangalore-523272
M Y LIVE NATI DUM HOSKOTE BIRIYANI,"Indian, Biryani",NA,450,Arekere,NA,https://www.swiggy.com/restaurants/m-y-live-nati-dum-hoskote-biriyani-arekere-bangalore-419365
HomeSe Just Veg,"South Indian, North Indian, Fast Food",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/homese-just-veg-bilekahalli-panduranga-nagar-bangalore-116811
Shanghai Court VB Layout,"Chinese, Thai",NA,450,Arekere,NA,https://www.swiggy.com/restaurants/shanghai-court-vb-layout-vijaya-bank-layout-bannerghatta-road-bangalore-20889
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Beverages, Desserts, Ice Cream, Combo, Waffle, Bakery, Healthy Food",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/frozen-bottle-milkshakes-desserts-and-ice-cream-arekere-hulimavu-bangalore-146450
NATIONAL RESTAURANT,"South Indian, Biryani, Chinese",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/national-restaurant-arekere-bangalore-468732
Rotti Mane (Uttara Karnataka Food Store),South Indian,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/rotti-mane-uttara-karnataka-food-store-arekere-bilekahalli-bangalore-230765
Cafe Baha,"Beverages, Indian, Fast Food",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/cafe-baha-arekere-bangalore-465352
Tandoor And Chinese Hut,"Chinese, North Indian",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/tandoor-and-chinese-hut-arekere-bangalore-486155
Food Affair,"North Indian, Tandoor, Chinese, Desserts, Beverages, Juices, Healthy Food",NA,350,Arekere,NA,https://www.swiggy.com/restaurants/food-affair-arekere-bommanahalli-bangalore-229422
Buzz A Pizza-Wood Fired Pizzas,"Pizzas, Beverages, Desserts, Italian, Pastas",3.9,400,Arekere,NA,https://www.swiggy.com/restaurants/buzz-a-pizza-wood-fired-pizzas-arekere-akshayanagar-bangalore-337374
Kaati Zone Rolls & Wraps,"Fast Food, Beverages, Bengali, Biryani, Indian, North Indian, Snacks, Street Foo...",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/kaati-zone-rolls-and-wraps-banerghatta-road-arekere-bangalore-3224
Paratha Junction,North Indian,3.2,150,Arekere,NA,https://www.swiggy.com/restaurants/paratha-junction-arekere-panduranga-nagar-bangalore-28002
HUNGRY,"Chinese, Malaysian, Combo",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/hungry-arekere-bangalore-487121
Ghar Waali Baat,"Street Food, North Indian, South Indian, Fast Food",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/ghar-waali-baat-arekere-bangalore-381963
Andhra Gunpowder,"Andhra, Biryani, South Indian",NA,350,Arekere,NA,https://www.swiggy.com/restaurants/andhra-gunpowder-arekere-j-p-nagar-bangalore-366223
A2B Veg,"South Indian, North Indian, Sweets, Chinese",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/a2b-veg-jp-nagar-bangalore-239218
SLV cool and snacks,"Snacks, South Indian, Chinese",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/slv-cool-and-snacks-arekere-bangalore-408766
Adil Bhai Roti Wale,Indian,NA,354,Arekere,NA,https://www.swiggy.com/restaurants/adil-bhai-roti-wale-arekere-akshayanagara-east-bangalore-405016
"Trippy Snacks - Fries, Momos & Desserts","Ice Cream, Desserts, Beverages",NA,125,Arekere,NA,https://www.swiggy.com/restaurants/trippy-snacks-fries-momos-and-desserts-arekere-bangalore-378587
McDonald's,"Burgers, Beverages, Cafe, Desserts",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/mcdonalds-meenakshi-mall-hulimavu-bangalore-23685
Aditi Kitchen,"Indian, Biryani, Chinese",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/aditi-kitchen-arekere-bangalore-422824
Five Star Chicken Bilekahalli,American,3.5,100,Arekere,NA,https://www.swiggy.com/restaurants/five-star-chicken-bilekahalli-btm-bommanahalli-bangalore-50393
Dakshin Cafe,"South Indian, North Indian, Chinese",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/dakshin-cafe-7th-phase-jp-nagar-arekere-bangalore-52212
PATEL MILTRY HOTEL,"Chinese, Biryani, Kebabs",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/patel-miltry-hotel-arekere-bangalore-442314
Veruthe Oru Thattukada,"Biryani, Seafood, South Indian",3.9,350,Arekere,NA,https://www.swiggy.com/restaurants/veruthe-oru-thattukada-arekere-bangalore-31075
RICE NOODLES,"Chinese, Pan-Asian, American",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/rice-noodles-nyanappana-halli-btm-6th-stage-hulimavu-bangalore-126325
Amy's Kitchen,"Biryani, Combo, Desserts",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/amys-kitchen-arekere-bangalore-443889
Chinese Bowl Company,"Chinese, Asian, Beverages, Indian, North Eastern, Maharashtrian, Desserts, Malay...",NA,800,Arekere,NA,https://www.swiggy.com/restaurants/chinese-bowl-company-puttenhalli-road-jp-nagar-bangalore-438183
LA ITALIA,"Pizzas, Pastas, Desserts, Salads, Thai",NA,500,Arekere,NA,https://www.swiggy.com/restaurants/la-italia-jp-nagar-akshayanagar-bangalore-382721
Mani's Dum Biryani,Indian,NA,483,Arekere,NA,https://www.swiggy.com/restaurants/manis-dum-biryani-lakshmi-layout-road-singasandra-bangalore-170045
Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/pure-veg-meals-by-lunchbox-main-road-arekere-bangalore-263596
White Mountain - Ice Cream and Sundaes,"Ice Cream, Beverages, Juices",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/white-mountain-ice-cream-and-sundaes-akshaynagar-hulimavu-bangalore-368550
Hyderabad Biryaani House,"North Indian, Chinese, Hyderabadi, Biryani, Andhra",3.9,600,Arekere,NA,https://www.swiggy.com/restaurants/hyderabad-biryaani-house-arekere-bangalore-21157
Chatori Gali,"Bengali, Chinese, North Indian, Desserts",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/chatori-gali-jp-nagar-j-p-nagar-bangalore-47404
Thalaivars Biryani,"Andhra, Biryani, Hyderabadi, South Indian, Indian, Combo, Beverages",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/thalaivars-biryani-arekere-bilekahalli-bangalore-285167
Kakal Kai Ruchi Dlf,Indian,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/kakal-kai-ruchi-dlf-arekere-dlf-hulimavu-bangalore-348484
COORG HUT,Indian,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/coorg-hut-arekere-bangalore-545546
Chowman,"Thai, Asian, Pan-Asian, Chinese, Oriental",NA,800,Arekere,NA,https://www.swiggy.com/restaurants/chowman-arekere-bangalore-353057
BANGARPETE CHATS,"Chaat, Indian",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/bangarpete-chats-arekere-bangalore-553051
Sri Bhagya Grand,"South Indian, North Indian, Chinese, Desserts, Jain, Ice Cream, Beverages",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/sri-bhagya-grand-vijayabank-layout-bommanahalli-bangalore-22246
ITC Sunfeast Baked Creations,"Bakery, Desserts, Beverages",NA,600,Arekere,NA,https://www.swiggy.com/restaurants/itc-sunfeast-baked-creations-jp-nagar-7th-phase-arekere-bangalore-371707
iSiri Cafe,"Chinese, Snacks, Desserts, Chaat",NA,500,Arekere,NA,https://www.swiggy.com/restaurants/isiri-cafe-arekere-bangalore-356212
Sundae Everyday Ice Creams,"Desserts, Ice Cream",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/sundae-everyday-ice-creams-banerghatta-road-arekere-bangalore-254772
ITC Master Chef Creations,"North Indian, Biryani, Indian, Punjabi, Chaat, Kebabs, Tandoor, Mughlai, Dessert...",NA,650,Arekere,NA,https://www.swiggy.com/restaurants/itc-master-chef-creations-jp-nagar-7th-phase-arekere-bangalore-371706
Icecream wala - desserts & thikshaks,Ice Cream,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/icecream-wala-desserts-and-thikshaks-arekere-bangalore-554016
Grand Chef Restaurant,"Chettinad, Indian, Kerala, South Indian, Tandoor",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/grand-chef-restaurant-central-akshayanagar-bangalore-227265
PIZZA EXPRESS,"Pizzas, Italian",NA,198,Arekere,NA,https://www.swiggy.com/restaurants/pizza-express-arekere-bangalore-555227
Eating Love Pizzeria,"Pizzas, Pastas, Beverages, Italian, Desserts",NA,500,Arekere,NA,https://www.swiggy.com/restaurants/eating-love-pizzeria-arekere-bangalore-438171
Indian Burrito Company,"Tex-Mex, Salads, Healthy Food, Keto, Mexican, Fast Food, Pizzas, Beverages",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/indian-burrito-company-arekere-bangalore-388378
Polar Bear,"Ice Cream, Desserts",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/polar-bear-arekere-vijayabank-layout-bangalore-377133
WarmOven Cakes & Desserts,"Bakery, Desserts, Beverages",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/warmoven-cakes-and-desserts-banerghatta-road-arekere-bangalore-194262
Krishna Kuteera,"South Indian, Chinese, North Indian",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/krishna-kuteera-arekere-bangalore-283196
Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",NA,500,Arekere,NA,https://www.swiggy.com/restaurants/behrouz-biryani-main-road-arekere-bangalore-14987
PARK LAND PUB AND RESTAURANT,"Chinese, Indian, Asian, Salads, Continental",NA,450,Arekere,NA,https://www.swiggy.com/restaurants/park-land-pub-and-restaurant-arekere-bangalore-456942
MBA In Khichdi,"Home Food, Desserts, Beverages",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/mba-in-khichdi-jp-nagar-bangalore-512774
Entrega Ecom,"Indian, Thalis",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/entrega-ecom-arekere-bangalore-547955
007 Lighthouse Pizza,"Snacks, Fast Food, Pizzas",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/007-lighthouse-pizza-arekere-bangalore-523743
Brew Drop Cafe,"Snacks, Juices, Beverages, Desserts",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/brew-drop-cafe-arekere-bangalore-553166
Meet & Eat Corner,"Fast Food, Snacks, Beverages",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/meet-and-eat-corner-arekere-bangalore-463234
BaHa Superfoods,"Healthy Food, Juices, Beverages, Snacks, Desserts",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/baha-superfoods-main-road-arekere-bangalore-341835
Starbucks Coffee,Beverages,NA,400,Arekere,NA,https://www.swiggy.com/restaurants/starbucks-coffee-sjr-central-panduranga-nagar-bangalore-357670
La shawarma,"Lebanese, Fast Food, Snacks, Beverages",NA,70,Arekere,NA,https://www.swiggy.com/restaurants/la-shawarma-arekere-bangalore-476308
Flying Kombucha,"American, Beverages",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/flying-kombucha-begur-bangalore-554005
Bombay Brasserie,"North Indian, Biryani, South Indian, Mughlai",NA,900,Arekere,NA,https://www.swiggy.com/restaurants/bombay-brasserie-7th-phase-arekere-bangalore-378134
Beijing Bites,"Chinese, Thai",NA,450,Arekere,NA,https://www.swiggy.com/restaurants/beijing-bites-arekere-panduranga-nagar-bangalore-535
Simar's Kitchen,"Chinese, North Indian",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/simars-kitchen-hulimav-hulimavu-bangalore-46660
ROTTI MANE,Indian,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/rotti-mane-devarachikkanahalli-road-arekere-bangalore-325483
Goli Vada Pav No .1,"Maharashtrian, North Indian, Street Food",NA,100,Arekere,NA,https://www.swiggy.com/restaurants/goli-vada-pav-no-1-santhruphthi-nagar-j-p-nagar-7th-phase-bangalore-421517
Jenny's Brownies,"Desserts, Beverages, Bakery",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/jennys-brownies-jp-nagar-bangalore-512645
The Punjabi Rasoi,"North Indian, Punjabi, Thalis, Tandoor, Chinese",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/the-punjabi-rasoi-2nd-phase-arekere-bangalore-86003
Oven and Loaf,Pizzas,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/oven-and-loaf-arekere-bangalore-455887
Sanskari Paratha,"North Indian, Desserts",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/sanskari-paratha-jp-nagar-bangalore-543362
Absolute Momo Cafe,"Chinese, Fast Food",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/absolute-momo-cafe-arekere-bangalore-417265
Rayan Kitchen,"Beverages, Indian",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/rayan-kitchen-arekere-bangalore-406553
BILAL AMBUR BIRIYANI HOUSE,"Biryani, Chinese, Kebabs",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/bilal-ambur-biriyani-house-hsr-bangalore-512884
IYENGAR CAKE PALACE,"Bakery, Snacks",3.6,150,Arekere,NA,https://www.swiggy.com/restaurants/iyengar-cake-palace-arekere-bangalore-452491
DINDIGUL BIRIYAANI,"Biryani, Snacks",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/dindigul-biriyaani-hsr-bangalore-513610
Tanduri Corner,"Tandoor, Chinese",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/tanduri-corner-arekere-bangalore-457925
Biryani Trip,"Biryani, Hyderabadi, Indian",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/biryani-trip-arekere-j-p-nagar-bangalore-366398
Taco Bell,Mexican,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/taco-bell-royal-meenakshi-mall-bannerghatta-road-hulimavu-bangalore-44233
Budapest Bake Inn,"Desserts, Ice Cream, Bakery, Beverages",3.9,250,Arekere,NA,https://www.swiggy.com/restaurants/budapest-bake-inn-achappa-layout-j-p-nagar-bangalore-219790
Bakers delight,"Bakery, Fast Food",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/bakers-delight-arekere-bangalore-533561
The Dripping Cone,"Ice Cream, Desserts, Beverages",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/the-dripping-cone-arekere-bangalore-439042
Nasi and Mee,"Asian, Chinese, Singaporean, Malaysian, Japanese, Thai, Indonesian",NA,800,Arekere,NA,https://www.swiggy.com/restaurants/nasi-and-mee-arekere-bangalore-417037
Kabab Magic,"North Indian, Chinese, Biryani, Tandoor",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/kabab-magic-bannerghatta-hulimavu-bangalore-542
The IceCream Zone,"Ice Cream, Desserts, Beverages",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/the-icecream-zone-arekere-bangalore-498686
Anand Sweets and Savouries,"Sweets, Chaat, Snacks, Desserts, North Indian",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/anand-sweets-and-savouries-hulimavu-bangalore-549
Absolute Shawarma,Indian,3.8,250,Arekere,NA,https://www.swiggy.com/restaurants/absolute-shawarma-arekere-bangalore-417272
McCafe by McDonald's,"Beverages, Desserts",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/mccafe-by-mcdonalds-akshaya-nagar-hulimavu-bangalore-194482
Sri Banasankri Military Hotel,"North Indian, Biryani",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/sri-banasankri-military-hotel-arekere-bangalore-499537
Brahma Brews,Indian,NA,1400,Arekere,NA,https://www.swiggy.com/restaurants/brahma-brews-jp-nagar-j-p-nagar-bangalore-323034
Mother's Rasoi,North Indian,NA,150,Arekere,NA,https://www.swiggy.com/restaurants/mothers-rasoi-80ft-rd-arekere-bangalore-26917
Dawg Haus - Loaded Hotdogs,"American, Continental, Beverages",NA,450,Arekere,NA,https://www.swiggy.com/restaurants/dawg-haus-loaded-hotdogs-arekere-bangalore-473381
Ice Corner,"Fast Food, Ice Cream",3.7,200,Arekere,NA,https://www.swiggy.com/restaurants/ice-corner-arekere-j-p-nagar-bangalore-251060
Banashankari Donne Biryani,"Biryani, Kebabs, South Indian, Chinese",NA,199,Arekere,NA,https://www.swiggy.com/restaurants/banashankari-donne-biryani-kudlu-gate-begur-bangalore-238082
Chow San,"Chinese, Seafood",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/chow-san-bannerghatta-road-arekere-bangalore-26913
Amido Truly Italian Cuisine,"Italian, Mediterranean",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/amido-truly-italian-cuisine-sarvobhogam-nagar-arekere-bangalore-359504
BENGALURU BOX,"Indian, Continental, Chinese",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/bengaluru-box-arekere-bangalore-418773
Momo Monk,"Pan-Asian, Chinese",NA,350,Arekere,NA,https://www.swiggy.com/restaurants/momo-monk-arekere-bangalore-382763
Snack House,Street Food,3.9,300,Arekere,NA,https://www.swiggy.com/restaurants/snack-house-arekere-bangalore-382762
Wendy's,"American, Burgers, Fast Food, Beverages, Snacks",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/wendys-bommanahalli-btm-bangalore-382641
Tikka Kebab,"Arabian, Biryani, Chinese, Grill, Kebabs, North Indian, Tandoor",3.9,300,Arekere,NA,https://www.swiggy.com/restaurants/tikka-kebab-arekere-hongasandra-bangalore-252023
Boma Rang Thai & Chainese Kitchen,Chinese,NA,400,Arekere,NA,https://www.swiggy.com/restaurants/boma-rang-thai-and-chainese-kitchen-arekere-bangalore-443603
Ambur Dum Biryani,"Biryani, Kebabs, Indian",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/ambur-dum-biryani-arekere-bangalore-525994
Andhra Gunpowder,"Andhra, Biryani, South Indian",NA,350,Arekere,NA,https://www.swiggy.com/restaurants/andhra-gunpowder-arekere-bangalore-382760
Impulse fish fry & kabab,"Seafood, Indian",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/impulse-fish-fry-and-kabab-arekere-bangalore-510367
Edesia by Freshmenu,"Desserts, Bakery, Sweets",3.7,150,Banashankari,NA,https://www.swiggy.com/restaurants/edesia-by-freshmenu-2nd-stage-banashankari-bangalore-237474
U. K. Foods,South Indian,3.2,200,Banashankari,NA,https://www.swiggy.com/restaurants/u-k-foods-banashankari-bangalore-239099
AMBI NAATI STYLE,Indian,NA,450,Banashankari,NA,https://www.swiggy.com/restaurants/ambi-naati-style-banashankari-bangalore-412989
Hokart Srinivas bajji Centre,"Fast Food, Street Food, Snacks",NA,99,Banashankari,NA,https://www.swiggy.com/restaurants/hokart-srinivas-bajji-centre-banashankari-bangalore-424052
